id_vivienda,delegacion,precio,superficie_terreno_m2,superficie_construccion_m2,recamaras,banos,estacionamientos,niveles,antiguedad_anios,estado_conservacion,uso_suelo,accesibilidad_vial,distancia_centro_km,distancia_vialidad_principal_km
VIV-118,Santa Ana Tlapaltitlán,1837000,152,199,3,2,2,2,15,Regular,Habitacional,Media,5.515,2.448
VIV-161,Capultitlán,1849000,207,274,4,3,1,2,14,Muy bueno,Habitacional,Media,3.861,0.923
VIV-175,Ocho Cedros,1592000,145,228,4,3,1,2,10,Bueno,Habitacional,Baja,3.06,0.617
VIV-197,San Pablo Autopan,1758000,239,305,5,3,2,2,7,Muy bueno,Habitacional,Media,11.509,1.277
VIV-043,Nueva Oxtotitlán,2271000,139,164,3,2,1,3,10,Muy bueno,Habitacional,Baja,5.323,1.209
VIV-097,San Felipe Tlalmimilolpan,1584000,197,241,4,2,1,2,12,Bueno,Habitacional con comercio,Baja,7.686,3.686
VIV-058,Cacalomacán,1498000,201,300,6,4,2,2,10,Regular,Habitacional,Media,8.705,1.485
VIV-020,San Lorenzo Tepaltitlán,2039000,167,190,3,2,2,2,6,Bueno,Habitacional,Alta,7.585,0.412
VIV-079,Santa María de las Rosas,2658000,169,220,3,1,2,2,11,Bueno,Habitacional con comercio,Baja,2.569,0.242
VIV-004,San Lorenzo Tepaltitlán,2033000,180,190,3,2,2,2,9,Regular,Habitacional,Alta,7.342,0.303
VIV-095,San Felipe Tlalmimilolpan,1320000,149,159,2,2,1,2,11,Regular,Habitacional,Baja,7.875,3.215
VIV-176,Ocho Cedros,1722000,153,242,4,3,2,2,9,Regular,Habitacional con comercio,Alta,3.211,0.179
VIV-094,San Felipe Tlalmimilolpan,1545000,168,219,4,2,2,2,11,Bueno,Habitacional,Alta,8.456,1.23
VIV-210,San Pablo Autopan,1677000,255,334,5,4,3,2,8,Muy bueno,Habitacional con comercio,Baja,11.585,5.534
VIV-127,Santa Ana Tlapaltitlán,1945000,152,179,3,2,2,2,10,Bueno,Habitacional,Baja,4.421,1.499
VIV-177,Ocho Cedros,1439000,134,150,3,2,1,2,10,Regular,Habitacional con comercio,Baja,2.572,1.098
VIV-101,San Cayetano Morelos,1109000,268,272,4,3,2,2,9,Bueno,Habitacional,Media,17.221,0.686
VIV-183,Santiago Tlacotepec,1229000,328,302,5,4,3,1,12,Bueno,Habitacional,Alta,8.754,3.458
VIV-056,Cacalomacán,1584000,221,300,6,4,2,3,6,Bueno,Habitacional,Baja,9.428,1.987
VIV-206,San Pablo Autopan,1650000,237,255,5,3,2,2,10,Bueno,Habitacional con comercio,Media,11.967,3.201
VIV-088,San Felipe Tlalmimilolpan,1461000,148,191,3,2,1,2,9,Regular,Habitacional,Media,7.923,2.493
VIV-179,Ocho Cedros,1534000,159,233,4,2,1,2,9,Regular,Habitacional,Baja,3.516,0.831
VIV-190,San Pablo Autopan,1508000,206,227,4,2,2,2,8,Malo,Habitacional con comercio,Media,11.523,2.054
VIV-109,San Cayetano Morelos,1104000,232,320,5,4,2,3,8,Regular,Habitacional con comercio,Media,18.051,1.296
VIV-051,Nueva Oxtotitlán,2576000,159,218,3,2,2,2,11,Regular,Habitacional,Alta,5.013,0.25
VIV-075,Santa María de las Rosas,2714000,147,179,3,2,2,2,9,Bueno,Habitacional,Alta,2.446,0.1
VIV-029,San Lorenzo Tepaltitlán,1883000,137,190,3,2,1,2,8,Regular,Habitacional,Media,7.722,1.202
VIV-152,Capultitlán,1900000,213,255,4,3,1,2,14,Regular,Habitacional,Media,4.222,0.946
VIV-128,Santa Ana Tlapaltitlán,2870000,188,300,4,3,2,3,12,Bueno,Habitacional,Alta,3.485,0.19
VIV-032,San Lorenzo Tepaltitlán,1591000,111,125,2,2,1,2,10,Muy bueno,Habitacional,Baja,7.602,1.068
VIV-081,Santa María de las Rosas,2776000,152,211,3,2,1,2,9,Bueno,Habitacional,Baja,2.489,0.26
VIV-193,San Pablo Autopan,1346000,211,210,4,3,2,2,8,Bueno,Habitacional,Media,11.607,3.982
VIV-040,Nueva Oxtotitlán,2760000,142,250,5,4,2,3,10,Muy bueno,Habitacional,Media,4.675,0.473
VIV-067,Cacalomacán,1636000,240,300,6,4,3,3,9,Regular,Habitacional,Baja,9.202,1.182
VIV-063,Cacalomacán,1604000,291,300,6,4,3,3,11,Bueno,Habitacional,Media,9.5,1.293
VIV-170,Ocho Cedros,1634000,163,228,4,2,2,2,10,Bueno,Habitacional,Media,3.397,0.745
VIV-086,Santa María de las Rosas,2229000,114,113,2,1,1,2,8,Muy bueno,Habitacional,Alta,2.704,0.123
VIV-189,San Pablo Autopan,1496000,173,261,5,3,2,2,8,Bueno,Habitacional,Baja,10.81,5.497
VIV-038,Nueva Oxtotitlán,2378000,163,209,4,2,2,3,12,Bueno,Habitacional,Baja,5.265,0.713
VIV-090,San Felipe Tlalmimilolpan,1561000,136,211,4,2,1,2,11,Malo,Habitacional con comercio,Media,7.158,2.964
VIV-042,Nueva Oxtotitlán,2494000,159,233,4,3,2,3,12,Regular,Habitacional,Baja,5.143,0.794
VIV-013,San Lorenzo Tepaltitlán,1999000,183,190,4,2,2,2,5,Muy bueno,Habitacional con comercio,Media,7.523,0.934
VIV-011,San Lorenzo Tepaltitlán,1902000,189,190,3,3,1,2,10,Bueno,Habitacional con comercio,Alta,7.614,0.806
VIV-046,Nueva Oxtotitlán,2151000,120,165,4,3,2,3,13,Bueno,Habitacional con comercio,Media,5.129,0.929
VIV-142,Santa Ana Tlapaltitlán,2386000,203,247,4,3,2,3,10,Regular,Habitacional,Media,6.083,1.42
VIV-151,Capultitlán,1796000,205,212,3,2,1,2,12,Bueno,Habitacional,Alta,3.546,0.283
VIV-158,Capultitlán,1889000,211,301,4,3,1,2,14,Regular,Habitacional,Media,4.165,1.696
VIV-007,San Lorenzo Tepaltitlán,2003000,169,190,4,3,1,2,7,Bueno,Habitacional con comercio,Media,7.124,1.038
VIV-180,Ocho Cedros,1430000,148,163,3,2,2,2,9,Bueno,Habitacional,Media,2.933,0.994
VIV-131,Santa Ana Tlapaltitlán,2110000,157,152,3,2,2,2,8,Bueno,Habitacional,Alta,5.487,0.806
